ID,Education,Income,Marital_Status,,,,
5524,Graduation,58138,Single,,,MAX Salary,666666
2174,Graduation,46344,Single,,,MIN Salary ,1730
4141,Graduation,71613,Together,,,,
6182,Graduation,26646,Together,,,,
5324,PhD,58293,Married,,,,
7446,Master,62513,Together,,,,
965,Graduation,55635,Divorced,,,,
6177,PhD,33454,Married,,,,
4855,PhD,30351,Together,,,,
5899,PhD,5648,Together,,,,
1994,Graduation,,Married,,,,
387,Basic,7500,Married,,,,
2125,Graduation,63033,Divorced,,,,
8180,Master,59354,Divorced,,,,
2569,Graduation,17323,Married,,,,
2114,PhD,82800,Single,,,,
9736,Graduation,41850,Married,,,,
4939,Graduation,37760,Together,,,,
6565,Master,76995,Married,,,,
2278,2n Cycle,33812,Single,,,,
9360,Graduation,37040,Married,,,,
5376,Graduation,2447,Married,,,,
1993,PhD,58607,Married,,,,
4047,PhD,65324,Married,,,,
1409,Graduation,40689,Together,,,,
7892,Graduation,18589,Single,,,,
2404,Graduation,53359,Married,,,,
5255,Graduation,,Single,,,,
9422,Graduation,38360,Married,,,,
1966,PhD,84618,Married,,,,
6864,Master,10979,Divorced,,,,
3033,Master,38620,Together,,,,
5710,Graduation,40548,Together,,,,
7373,PhD,46610,Divorced,,,,
8755,Master,68657,Married,,,,
10738,Master,49389,Single,,,,
4339,PhD,67353,Married,,,,
10755,2n Cycle,23718,Married,,,,
8595,Graduation,42429,Widow,,,,
2968,PhD,48948,Divorced,,,,
8601,Graduation,80011,Married,,,,
503,Master,20559,Married,,,,
8430,Graduation,21994,Together,,,,
7281,PhD,,Single,,,,
2139,Master,7500,Married,,,,
1371,Graduation,79941,Single,,,,
9909,2n Cycle,7500,Married,,,,
7286,Graduation,41728,Together,,,,
7244,Graduation,,Single,,,,
6566,PhD,72550,Married,,,,
8614,Graduation,65486,Widow,,,,
4114,Master,79143,Married,,,,
1331,Graduation,35790,Single,,,,
2225,Graduation,82582,Divorced,,,,
9381,Graduation,66373,Married,,,,
6260,Master,82384,Together,,,,
10383,Graduation,70287,Divorced,,,,
